nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
KORZE— MNISZKA;ZIO£A LECZNICZE - BOGUCCY;013253;05909994381339;A05AX
LI∂∆ M•CZNICY;FLOS;013563;05909994309418;G04BX
MIACALCIC;NOVARTIS;005796;05909990119417;H05BA
MILURIT;PROTERAPIA;005860;05909990163212;M04AA
ACNOSAN;UNIA;000115;05909990239115;D10AB
VENOLAN;GEDEON RICHTER POLSKA;014519;05909990310210;C05CA
PENATEN BABY - SHAMPOO;PENATEN;014559;00000040446080;V07AT
ZIELE SKRZYPU;LABOFARM;014615;05909990022199;C03BX
ADIURETIN;FERRING-LECIVA;000180;05909990099818;H01BA
ALANTAN;UNIA;000238;05909990239214;D03AX
ALANTAN PLUS;UNIA;000239;05909990035014;D03AX
PENATEN - FENCHTTUECHER;PENATEN;014684;04044600003951;V07AT
KORZE— WILØYNY;FLOS;014732;05909994309722;C03BX
ZIELE FIO£KA TR”JBARWNEGO;FLOS;014739;05909994310261;D10BX
ALKERAN;ASPEN;000325;05909990283514;L01AA
BIODACYNA;POLPHARMA;001262;05909990061419;J01GB
BIOFUROKSYM;POLPHARMA;001269;05909990059416;J01DC
INHIBACE;ROCHE;004315;05909990096916;C09AA
IRUXOL MONO;SMITH & NEPHEW;004473;05909990015429;D03BA
ACUDEX;TEVA KUTNO;000147;05909990249213;D03AX
PARLODEL;DELFARMA/MEDA;001424;05909997076812;G02CB
CALC-MAG;HASCO-LEK;001505;05909990261314;A12AX
CALCIPIRYNA;POLPHARMA;001511;05909990134915;N02BA
ZIELE PI CIORNIKA G SIEGO;FLOS;014740;05909990195527;A16AX
TARGOCID;AVENTIS PHARMA;015165;05909990336210;J01XA
ZIELE PRZYWROTNIKA;FLOS;015231;05909990312016;A16AX
CESOL;MERCK;001700;05909990288816;P02BA
LIFE ØELAZO;SUPER-PHARM POLAND;211593;05902683820836;A11JB
LIFE MULTIWITAMINA ABCDE;SUPER-PHARM POLAND;211595;05902683820911;A11AA
WITAMINA C 1000 MG;AMINVEST;211602;05906660188216;A11GA
DIAVUE TOGO;BIOCARE;211683;04716022053035;V04CA
HYLO DUAL;URSAPHARM;211713;04031626711502;S01XA
EAU THERMALE AVENE BODY - BAUME FONDANT HYDRATANT;AVENE;210512;03282770111583;V07AT
TADAXIN;SYNOPTIS;210523;05909991371999;G04BE
TADAXIN;SYNOPTIS;210525;05909991372019;G04BE
TADAXIN;SYNOPTIS;210528;05909991371975;G04BE
TADAXIN;SYNOPTIS;210543;05909991372231;G04BE
TADAXIN;SYNOPTIS;210545;05909991372248;G04BE
TADAXIN;SYNOPTIS;210548;05909991372200;G04BE
KROPIA;OMISAN;210661;05900741962078;S01XA
ECOPLAST RODZINNA APTECZKA;NORDEPLAST;210664;04751028534423;V07AA
POXCLIN BODYMOUSSE;TRIMB HEALTHCARE;210739;08718053574752;D04AX
APTEO ANTYBAKTERYJNY ØEL DO R•K;SYNOPTIS;210746;05907553018054;V07AT
AGE PROTECT - CREME MULTI-ACTIONS SPF 30;URIAGE;210826;03661434006418;V07AT
ISDINCEUTICS - FLAVO-C;ISDIN;210829;08470001769138;V07AT
PREWENIT BALANCE T;BIOFARM;210840;05907695218275;V06DX
Q10 PLUS;NOBLEPHARMA;211184;04260349710985;C01EB
APTEO OLEJ Z W•TROBY REKINA FORTE;SYNOPTIS;211202;05907553018122;L03AX
MARIMER BABY HIPERTONICZNY;GILBERT;211323;03518646672910;R01AX
EAU THERMALE AVENE - AUTOBRONZANT HYDRATANT;AVENE;211528;03282770073041;V07AT
PRODUKT ZE ZNAKIEM ZYSKAJ ZDROWIE MULTIRUTIN;ZYSKAJ ZDROWIE;211658;05902578910116;R05X
